OLT,Tarjeta,Puerto,Clientes afectados,Hora de afectación,CLASE
mbo-bvis-olt-03,1,8,16,10:58 a.m.,Masivo
mbo-bvis-olt-05,2,12,5,12:00 am,Puntual
mbo-lpue-olt-00,1,0,8,4:50 am,Masivo
mbo-call-olt-05,1,0,40,3:26 pm,Masivo
mbo-lpue-olt-00,1,3,2,1:52 pm,Puntual
flc-coro-olt-01,5,14,3,11:50 pm,Puntual
mbo-bvis-olt-01,4,4,10,1:00 pm,Masivo
flc-coro-olt-04,6,2,24,5:00 pm,Masivo
mbo-call-olt-02,4,4,1,6:00 pm,Puntual
mbo-pomo-olt-00,6,7,12,9:00 am,Masivo
flc-coro-olt-04,4,5,2,6:58 pm,Puntual
mbo-call-olt-05,1,3,7,2:36 a.m.,Masivo
mbo-call-olt-02,7,6,8,8:17 am,Masivo
flc-coro-olt-01,7,15,3,8:15 a.m.,Puntual
flc-coro-olt-04,4,13,11,12:03 pm,Masivo
mbo-lpue-olt-00,2,12,11,5:11 a.m.,Masivo
flc-coro-olt-04,7,3,12,10:28 a.m.,Masivo
mbo-call-olt-02,5,15,2,7:06 am,Puntual
flc-coro-olt-01,1,1,32,4:13 pm,Masivo
mbo-call-olt-05,1,9,38,1:54 p.m.,Masivo
mbo-call-olt-02,7,11,1,11:11 pm,Puntual
mbo-call-olt-02,3,6,20,2:34 p.m.,Masivo
mbo-lpue-olt-00,7,7,1,10:04 pm,Puntual
mbo-bvis-olt-01,3,1,3,10:16 am,Puntual
flc-coro-olt-01,7,4,4,4:57 pm,Puntual
mbo-bvis-olt-05,5,0,6,1:41 p.m.,Masivo
mbo-call-olt-02,6,6,3,8:31 am,Puntual
mbo-bvis-olt-01,1,7,16,9:09 p.m.,Masivo
mbo-bvis-olt-05,7,12,32,4:42 p.m.,Masivo
flc-coro-olt-01,5,15,14,10:16 pm,Masivo
mbo-bvis-olt-03,3,5,4,3:04 am,Puntual
mbo-bvis-olt-01,3,4,18,2:44 a.m.,Masivo
mbo-pomo-olt-00,1,14,12,5:41 am,Masivo
